idx,eval_char,eval_calligrapher,nn_ssim,nn_char,nn_calligrapher,nn_image_path
101,化,王羲之,0.61135,化,智永,/root/Workspace/xy/DiT/data/50k/imgs/002668.png
102,爵,颜真卿,0.55832,爵,王铎,/root/Workspace/xy/DiT/data/50k/imgs/038476.png
103,亨,唐玄宗,0.50356,亨,金农,/root/Workspace/xy/DiT/data/50k/imgs/000707.png
104,階,赵佶,0.42609,階,颜真卿,/root/Workspace/xy/DiT/data/50k/imgs/020134.png
105,失,郑板桥,0.64219,失,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/004470.png
106,三,唐玄宗,0.66191,三,祝允明,/root/Workspace/xy/DiT/data/50k/imgs/038502.png
107,暎,赵佶,0.46860,暎,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/009321.png
108,以,朱熹,0.80923,以,王羲之,/root/Workspace/xy/DiT/data/50k/imgs/000986.png
109,此,赵孟頫,0.74502,此,赵之谦,/root/Workspace/xy/DiT/data/50k/imgs/010467.png
110,涤,虞世南,,,,
111,乱,文徵明,0.55146,乱,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/026968.png
112,贄,金农,0.55762,贄,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/018171.png
113,后,王宠,0.63993,后,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/003291.png
114,千,董其昌,0.78367,千,颜真卿,/root/Workspace/xy/DiT/data/50k/imgs/046493.png
115,璧,赵之谦,0.58689,璧,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/012641.png
116,盧,欧阳通,0.52905,盧,吴昌硕,/root/Workspace/xy/DiT/data/50k/imgs/050531.png
117,因,朱熹,0.52102,因,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/046059.png
118,铭,赵之谦,0.51411,铭,赵孟頫,/root/Workspace/xy/DiT/data/50k/imgs/044838.png
119,置,黄庭坚,0.60803,置,启功,/root/Workspace/xy/DiT/data/50k/imgs/031246.png
