img_id,plan,steps,before_ink,after_ink
264603,crop,crop_t13b12l0r0+denoise,0.1985,0.0985
73567,denoise,denoise,0.3225,0.3175
65601,denoise,denoise,0.2574,0.2487
66334,denoise,denoise,0.2984,0.2871
66404,denoise,denoise,0.4219,0.4158
66505,denoise,denoise,0.2275,0.2220
261745,denoise,denoise,0.3930,0.3835
66559,denoise,denoise,0.4219,0.4158
66668,denoise,denoise,0.2275,0.2220
66669,denoise,denoise,0.3930,0.3835
73597,denoise,denoise,0.3968,0.3900
264674,crop,crop_t42b42l0r0+denoise,0.4523,0.1230
73819,invert,invert,0.7160,0.2840
74282,denoise,denoise,0.1534,0.1503
74291,denoise,denoise,0.2616,0.2516
74394,invert,invert+denoise,0.7566,0.2429
74786,crop,crop_t0b0l48r53+denoise,0.4978,0.1028
74245,denoise,denoise,0.1708,0.1641
65071,invert,invert,0.7946,0.2054
65329,denoise,denoise,0.2899,0.2837
65368,denoise,denoise,0.2871,0.2815
261268,denoise,denoise,0.3009,0.2841
65447,denoise,denoise,0.2899,0.2837
65481,denoise,denoise,0.2871,0.2815
65482,denoise,denoise,0.3009,0.2841
65574,denoise,denoise,0.1682,0.1596
70270,denoise,denoise,0.2590,0.2534
70340,invert,invert+denoise,0.7564,0.2428
70396,invert,invert+denoise,0.6290,0.3693
71224,invert,invert+denoise,0.6371,0.3612
71938,invert,invert,0.6851,0.3149
71941,denoise,denoise,0.1932,0.1859
264116,denoise,denoise,0.3755,0.3615
264148,denoise,denoise,0.3755,0.3615
75061,denoise,denoise,0.2494,0.2352
75173,denoise,denoise,0.1736,0.1672
75308,denoise,denoise,0.1396,0.1332
75685,invert,invert+denoise,0.7483,0.2505
75695,denoise,denoise,0.2853,0.2817
75816,invert,invert+denoise,0.7011,0.2987
76340,denoise,denoise,0.1373,0.1285
76623,invert,invert+denoise,0.6794,0.3187
68800,crop,crop_t0b0l33r32+denoise,0.4909,0.2226
68856,crop,crop_t12b0l0r0+denoise,0.2230,0.1760
68998,denoise,denoise,0.3330,0.3201
69033,invert,invert,0.5717,0.4283
262837,denoise,denoise,0.1494,0.1460
69197,denoise,denoise,0.2485,0.2464
263107,denoise,denoise,0.3448,0.3266
69985,denoise,denoise,0.1990,0.1903
77773,denoise,denoise,0.1715,0.1661
77780,denoise,denoise,0.1715,0.1661
78611,invert,invert+denoise,0.7366,0.2615
79630,denoise,denoise,0.2026,0.1899
267176,denoise,denoise,0.3601,0.3541
79781,denoise,denoise,0.1995,0.1830
79984,crop,crop_t0b0l33r32+denoise,0.4397,0.1847
80041,invert,invert+denoise,0.5873,0.4113
76691,invert,invert+denoise,0.5747,0.4240
76841,denoise,denoise,0.2083,0.1997
266094,crop,crop_t25b25l0r0+denoise,0.3228,0.1263
77166,denoise,denoise,0.2986,0.2862
77238,denoise,denoise,0.1434,0.1398
77239,denoise,denoise,0.2229,0.1990
77325,denoise,denoise,0.1434,0.1398
266210,denoise,denoise,0.2229,0.1990
80059,denoise,denoise,0.2054,0.1884
80335,denoise,denoise,0.0854,0.0797
80369,denoise,denoise,0.2200,0.2157
80370,denoise,denoise,0.2835,0.2579
80451,denoise,denoise,0.1332,0.1269
80518,denoise,denoise,0.2232,0.2169
80671,denoise,denoise,0.1089,0.1068
81423,invert,invert+denoise,0.6820,0.3172
80864,invert,invert+denoise,0.6700,0.3297
80865,invert,invert+denoise,0.6772,0.3177
80916,crop,crop_t18b18l0r0+denoise,0.3300,0.1870
81547,denoise,denoise,0.2218,0.2122
81653,invert,invert+denoise,0.6317,0.3679
81673,denoise,denoise,0.2259,0.2205
81744,invert,invert+denoise,0.7347,0.2647
